Colorectal cancer,,,,,ab_c
L-Norleucine,HMDB0001645,CCCC[C@H](N)C(O)=O,Feces,Not Specified,
Methylsuccinic acid,HMDB0001844,C[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Caffeine,HMDB0001847,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,Feces,Not Specified,
L-Arabitol,HMDB0001851,OC[C@H](O)C(O)[C@@H](O)CO,Feces,Not Specified,
Protocatechuic acid,HMDB0001856,OC(=O)C1=CC(O)=C(O)C=C1,Feces,Not Specified,
"1,3-Dimethyluric acid",HMDB0001857,CN1C2=C(NC(=O)N2)C(=O)N(C)C1=O,Feces,Not Specified,
p-Cresol,HMDB0001858,CC1=CC=C(O)C=C1,Feces,Not Specified,
Acetaminophen,HMDB0001859,CC(=O)NC1=CC=C(O)C=C1,Feces,Not Specified,
Paraxanthine,HMDB0001860,CN1C=NC2=C1C(=O)N(C)C(=O)N2,Feces,Not Specified,
Benzoic acid,HMDB0001870,OC(=O)C1=CC=CC=C1,Feces,Not Specified,
Propylene glycol,HMDB0001881,C[C@@H](O)CO,Feces,Not Specified,
alpha-Tocopherol,HMDB0001893,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1,Feces,Not Specified,
"1,1-Dimethylbiguanide",HMDB0001921,CN(C)C(=N)NC(N)=N,Feces,Not Specified,
Hydrochlorothiazide,HMDB0001928,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,Feces,Not Specified,
Levofloxacin,HMDB0001929,C[C@H]1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1,Feces,Not Specified,
Metoprolol,HMDB0001932,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,Feces,Not Specified,
Caffeic acid,HMDB0001964,OC(=O)\C=C\C1=CC(O)=C(O)C=C1,Feces,Not Specified,
"3,7-Dimethyluric acid",HMDB0001982,CN1C(=O)NC2=C1C(=O)NC(=O)N2C,Feces,Not Specified,
4-Hydroxycyclohexylcarboxylic acid,HMDB0001988,OC1CCC(CC1)C(O)=O,Feces,Not Specified,
7-Methylxanthine,HMDB0001991,CN1C=NC2=C1C(=O)NC(=O)N2,Feces,Not Specified,
Eicosapentaenoic acid,HMDB0001999,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,Feces,Not Specified,
Myristoleic acid,HMDB0002000,CCCC\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
Tetracosanoic acid,HMDB0002003,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Methionine sulfoxide,HMDB0002005,CS(=O)CC[C@H](N)C(O)=O,Feces,Not Specified,
1-Phenylethylamine,HMDB0002017,CC(N)C1=CC=CC=C1,Feces,Not Specified,
8-Hydroxyguanine,HMDB0002032,NC1=NC2=C(NC(=O)N2)C(=O)N1,Feces,Not Specified,
N-Acetylputrescine,HMDB0002064,CC(=O)NCCCCN,Feces,Not Specified,
Erucic acid,HMDB0002068,CCCCCCCC\C=C/CCCCCCCCCCCC(O)=O,Feces,Not Specified,
Oleoylethanolamide,HMDB0002088,CCCCCCCC\C=C/CCCCCCCC(=O)NCCO,Feces,Not Specified,
Palmitoylethanolamide,HMDB0002100,CCCCCCCCCCCCCCCC(=O)NCCO,Feces,Not Specified,
"1,3,7-Trimethyluric acid",HMDB0002123,CN1C(=O)NC2=C1C(=O)N(C)C(=O)N2C,Feces,Not Specified,
Docosahexaenoic acid,HMDB0002183,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O,Feces,Not Specified,
Desaminotyrosine,HMDB0002199,OC(=O)CCC1=CC=C(O)C=C1,Feces,Not Specified,
Arachidic acid,HMDB0002212,CCCCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Heptadecanoic acid,HMDB0002259,CCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
(R)-2-Hydroxycaprylic acid,HMDB0002264,CCCCCC[C@@H](O)C(O)=O,Feces,Not Specified,
Curcumin,HMDB0002269,COC1=CC(\C=C\C(=O)CC(=O)\C=C\C2=CC(OC)=C(O)C=C2)=CC=C1O,Feces,Not Specified,
Imidazolepropionic acid,HMDB0002271,OC(=O)CCC1=CNC=N1,Feces,Not Specified,
N-Acetylcadaverine,HMDB0002284,CC(=O)NCCCCCN,Feces,Not Specified,
Indole-3-propionic acid,HMDB0002302,OC(=O)CCC1=CNC2=C1C=CC=C2,Feces,Not Specified,
Cadaverine,HMDB0002322,NCCCCCN,Feces,Not Specified,
Octadecanol,HMDB0002350,CCCCCCCCCCCCCCCCCCO,Feces,Not Specified,
Oleanolic acid,HMDB0002364,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O,Feces,Not Specified,
Nervonic acid,HMDB0002368,CCCCCCCC\C=C/CCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
N-Phenylacetylphenylalanine,HMDB0002372,OC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CC1=CC=CC=C1,Feces,Not Specified,
3-Hydroxybenzoic acid,HMDB0002466,OC(=O)C1=CC(O)=CC=C1,Feces,Not Specified,
Galacturonic acid,HMDB0002545,O[C@@H](C=O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O,Feces,Not Specified,
Sulfolithocholylglycine,HMDB0002639,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)[C@H](C)CCC(=O)NCC(O)=O,Feces,Not Specified,
6-Hydroxynicotinic acid,HMDB0002658,OC(=O)C1=CN=C(O)C=C1,Feces,Not Specified,
Naringenin,HMDB0002670,OC1=CC=C(C=C1)[C@@H]1CC(=O)C2=C(O1)C=C(O)C=C2O,Feces,Not Specified,
Androsterone sulfate,HMDB0002759,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](CC[C@]12C)OS(O)(=O)=O,Feces,Not Specified,
LysoPC(18:1(9Z)/0:0),HMDB0002815,[H][C@@](O)(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,Feces,Not Specified,
Theobromine,HMDB0002825,CN1C=NC2=C1C(O)=NC(=O)N2C,Feces,Not Specified,
Campesterol,HMDB0002869,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)C,Feces,Not Specified,
delta-Tocopherol,HMDB0002902,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=CC(O)=CC(C)=C2O1,Feces,Not Specified,
D-Xylitol,HMDB0002917,OC[C@H](O)[C@@H](O)[C@H](O)CO,Feces,Not Specified,
Dihomo-gamma-linolenic acid,HMDB0002925,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,Feces,Not Specified,
Quinic acid,HMDB0003072,O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O,Feces,Not Specified,
1-Methyluric acid,HMDB0003099,CN1C(=O)NC2=C(NC(=O)N2)C1=O,Feces,Not Specified,
"2,3-Butanediol",HMDB0003156,CC(O)C(C)O,Feces,Not Specified,
Raffinose,HMDB0003213,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,Feces,Not Specified,
Genistein,HMDB0003217,OC1=CC=C(C=C1)C1=COC2=CC(O)=CC(O)=C2C1=O,Feces,Not Specified,
Deoxyribose,HMDB0003224,OC[C@@H]1O[C@H](O)C[C@H]1O,Feces,Not Specified,
Palmitoleic acid,HMDB0003229,CCCCCC\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
Vaccenic acid,HMDB0003231,CCCCCC\C=C\CCCCCCCCCC(O)=O,Feces,Not Specified,
Solanidine,HMDB0003236,[H][C@]12CC[C@H](C)CN1[C@@]1([H])C[C@@]3([H])[C@]4([H])CC=C5C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@@H]2C,Feces,Not Specified,
Indole-3-carboxylic acid,HMDB0003320,OC(=O)C1=CNC2=CC=CC=C12,Feces,Not Specified,
5-Aminopentanoic acid,HMDB0003355,NCCCCC(O)=O,Feces,Not Specified,
D-Ornithine,HMDB0003374,NCCC[C@@H](N)C(O)=O,Feces,Not Specified,
1-Hexadecanol,HMDB0003424,CCCCCCCCCCCCCCCCO,Feces,Not Specified,
4-Acetamidobutanoic acid,HMDB0003681,CC(=O)NCCCC(O)=O,Feces,Not Specified,
5-Androstenediol,HMDB0003818,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,Feces,Not Specified,
3-Aminoisobutanoic acid,HMDB0003911,CC(CN)C(O)=O,Feces,Not Specified,
L-Allothreonine,HMDB0004041,C[C@H](O)[C@H](N)C(O)=O,Feces,Not Specified,
D-Threitol,HMDB0004136,OC[C@@H](O)[C@H](O)CO,Feces,Not Specified,
Stercobilinogen,HMDB0004157,[H][C@@]1(CC2=C(C)C(CCC(O)=O)=C(CC3=C(CCC(O)=O)C(C)=C(C[C@]4([H])NC(=O)[C@H](C)[C@H]4CC)N3)N2)NC(=O)[C@H](CC)[C@H]1C,Feces,Not Specified,
Urobilin,HMDB0004160,[H]C(C1=C(CCC(O)=O)C(C)=C(CC2NC(=O)C(C)=C2CC)N1)=C1N=C(CC2NC(=O)C(CC)=C2C)C(C)=C1CCC(O)=O,Feces,Not Specified,
D-Urobilin,HMDB0004161,CCC1=C(C)C(=O)NC1CC1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N=C(CC2NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O,Feces,Not Specified,
N1-Methyl-2-pyridone-5-carboxamide,HMDB0004193,CN1C=C(C=CC1=O)C(N)=O,Feces,Not Specified,
5-Acetylamino-6-amino-3-methyluracil,HMDB0004400,CN1C(=O)NC(N)=C(NC(C)=O)C1=O,Feces,Not Specified,
Proline betaine,HMDB0004827,C[N+]1(C)CCC[C@H]1C([O-])=O,Feces,Not Specified,
Cer(d18:1/12:0),HMDB0004947,[H][C@@](CO)(NC(=O)CCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC,Feces,Not Specified,
Cer(d18:1/18:1(9Z)),HMDB0004948,[H][C@@](CO)(NC(=O)CCCCCCC\C=C/CCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC,Feces,Not Specified,
Cer(d18:1/16:0),HMDB0004949,[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC,Feces,Not Specified,
Cer(d18:1/18:0),HMDB0004950,[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC,Feces,Not Specified,
Cer(d18:1/20:0),HMDB0004951,[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC,Feces,Not Specified,
Cer(d18:1/22:0),HMDB0004952,[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC,Feces,Not Specified,
Cer(d18:1/24:1(15Z)),HMDB0004953,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC,Feces,Not Specified,
Cer(d18:1/26:0),HMDB0004955,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)\C=C\CCCCCCCCCCCCC,Feces,Not Specified,
Cer(d18:1/24:0),HMDB0004956,[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC,Feces,Not Specified,
Cer(d18:1/25:0),HMDB0004957,[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC,Feces,Not Specified,
Atorvastatin,HMDB0005006,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,Feces,Not Specified,
Gabapentin,HMDB0005015,NCC1(CC(O)=O)CCCCC1,Feces,Not Specified,
Eicosadienoic acid,HMDB0005060,CCCCC\C=C/C\C=C/CCCCCCCCCC(O)=O,Feces,Not Specified,
(R)-Salsolinol,HMDB0005199,CC1NCCC2=C1C=C(O)C(O)=C2,Feces,Not Specified,
Gallic acid,HMDB0005807,OC(=O)C1=CC(O)=C(O)C(O)=C1,Feces,Not Specified,
Enterolactone,HMDB0006101,OC1=CC=CC(C[C@@H]2COC(=O)[C@H]2CC2=CC(O)=CC=C2)=C1,Feces,Not Specified,
7beta-Hydroxycholesterol,HMDB0006119,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,Feces,Not Specified,
"5,8,11-Eicosatrienoic acid",HMDB0010378,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(O)=O,Feces,Not Specified,
1-Methylxanthine,HMDB0010738,CN1C(=O)NC2=C(NC=N2)C1=O,Feces,Not Specified,
"1,7-Dimethyluric acid",HMDB0011103,CN1C(=O)NC2=C1C(=O)N(C)C(=O)N2,Feces,Not Specified,
LysoPE(18:0/0:0),HMDB0011130,[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCC)COP(O)(=O)OCCN,Feces,Not Specified,
gamma-Glutamylisoleucine,HMDB0011170,CC[C@H](C)[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O,Feces,Not Specified,
gamma-Glutamylleucine,HMDB0011171,CC(C)C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O,Feces,Not Specified,
LysoPE(16:0/0:0),HMDB0011503,[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCC)COP(O)(=O)OCCN,Feces,Not Specified,
LysoPE(18:1(9Z)/0:0),HMDB0011506,[H][C@@](O)(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP(O)(=O)OCCN,Feces,Not Specified,
"LysoPE(18:2(9Z,12Z)/0:0)",HMDB0011507,[H][C@@](O)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP(O)(=O)OCCN,Feces,Not Specified,
"MG(0:0/18:2(9Z,12Z)/0:0)",HMDB0011538,[H]C(CO)(CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,Feces,Not Specified,
MG(18:1(9Z)/0:0/0:0),HMDB0011567,[H][C@](O)(CO)COC(=O)CCCCCCC\C=C/CCCCCCCC,Feces,Not Specified,
"MG(18:2(9Z,12Z)/0:0/0:0)",HMDB0011568,[H][C@](O)(CO)COC(=O)CCCCCCC\C=C/C\C=C/CCCCC,Feces,Not Specified,
"MG(18:3(6Z,9Z,12Z)/0:0/0:0)",HMDB0011569,[H][C@](O)(CO)COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,Feces,Not Specified,
"Adenosine 2',3'-cyclic phosphate",HMDB0011616,NC1=NC=NC2=C1N=CN2C1OC(CO)C2OP(O)(=O)OC12,Feces,Not Specified,
p-Cresol sulfate,HMDB0011635,CC1=CC=C(OS(O)(=O)=O)C=C1,Feces,Not Specified,
4-Hydroxybenzyl alcohol,HMDB0011724,OCC1=CC=C(O)C=C1,Feces,Not Specified,
5-Keto-D-gluconate,HMDB0011731,OCC(=O)C(O)C(O)C(O)C(O)=O,Feces,Not Specified,
Glycyl-glycine,HMDB0011733,NCC(=O)NCC(O)=O,Feces,Not Specified,
gamma-Glutamylglutamic acid,HMDB0011737,N[C@@H](CCC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,Feces,Not Specified,
N-Acetyl-L-methionine,HMDB0011745,CSCC[C@H](NC(C)=O)C(O)=O,Feces,Not Specified,
2-Piperidinone,HMDB0011749,O=C1CCCCN1,Feces,Not Specified,
N-Acetylleucine,HMDB0011756,CC(C)C[C@H](NC(C)=O)C(O)=O,Feces,Not Specified,
N-Acetylvaline,HMDB0011757,CC(C)[C@H](NC(C)=O)C(O)=O,Feces,Not Specified,
3-Dehydrocarnitine,HMDB0012154,C[N+](C)(C)CC(=O)CC([O-])=O,Feces,Not Specified,
Alanyltryptophan,HMDB0013209,C[C@H](N)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Leucylphenylalanine,HMDB0013243,CC(C)C[C@H](N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Phenylalanylphenylalanine,HMDB0013302,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
N-Acetyltryptophan,HMDB0013713,CC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Norvaline,HMDB0013716,CCC[C@@H](N)C(O)=O,Feces,Not Specified,
Probenecid,HMDB0015166,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,Feces,Not Specified,
Alanylalanine,HMDB0028680,C[C@H](N)C(=O)N[C@@H](C)C(O)=O,Feces,Not Specified,
Alanylglutamic acid,HMDB0028686,C[C@H](N)C(=O)N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
Alanylisoleucine,HMDB0028690,CC[C@H](C)[C@H](NC(=O)[C@H](C)N)C(O)=O,Feces,Not Specified,
Alanylleucine,HMDB0028691,CC(C)C[C@H](NC(=O)[C@H](C)N)C(O)=O,Feces,Not Specified,
Alanylphenylalanine,HMDB0028694,C[C@H](N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Alanylproline,HMDB0028695,C[C@H](N)C(=O)N1CCC[C@H]1C(O)=O,Feces,Not Specified,
Alanylvaline,HMDB0028700,CC(C)[C@H](NC(=O)[C@H](C)N)C(O)=O,Feces,Not Specified,
Arginylleucine,HMDB0028713,CC(C)C[C@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(O)=O,Feces,Not Specified,
Arginylphenylalanine,HMDB0028716,N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Arginylvaline,HMDB0028722,CC(C)[C@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(O)=O,Feces,Not Specified,
Asparaginylisoleucine,HMDB0028734,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC(N)=O)C(O)=O,Feces,Not Specified,
Asparaginyl-Leucine,HMDB0028735,CC(C)CC(NC(=O)C(N)CC(N)=O)C(O)=O,Feces,Not Specified,
Asparaginyl-Valine,HMDB0028744,CC(C)C(NC(=O)C(N)CC(N)=O)C(O)=O,Feces,Not Specified,
Aspartyl-Leucine,HMDB0028757,CC(C)CC(NC(=O)C(N)CC(O)=O)C(O)=O,Feces,Not Specified,
Glutamylisoleucine,HMDB0028822,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCC(O)=O)C(O)=O,Feces,Not Specified,
Glutamylleucine,HMDB0028823,CC(C)C[C@H](NC(=O)[C@@H](N)CCC(O)=O)C(O)=O,Feces,Not Specified,
Glycyl-Isoleucine,HMDB0028844,CCC(C)C(N=C(O)CN)C(O)=O,Feces,Not Specified,
Glycyl-Methionine,HMDB0028847,CSCCC(NC(=O)CN)C(O)=O,Feces,Not Specified,
Glycyl-Phenylalanine,HMDB0028848,NCC(O)=NC(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Glycyl-Threonine,HMDB0028851,CC(O)C(NC(=O)CN)C(O)=O,Feces,Not Specified,
Glycyl-Tryptophan,HMDB0028852,NCC(=O)NC(CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Glycyltyrosine,HMDB0028853,NCC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Glycylvaline,HMDB0028854,CC(C)[C@H](NC(=O)CN)C(O)=O,Feces,Not Specified,
Histidylisoleucine,HMDB0028888,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC1=CNC=N1)C(O)=O,Feces,Not Specified,
Histidylleucine,HMDB0028889,CC(C)C[C@H](NC(=O)[C@@H](N)CC1=CNC=N1)C(O)=O,Feces,Not Specified,
Histidylphenylalanine,HMDB0028892,N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Histidylproline,HMDB0028893,N[C@@H](CC1=CNC=N1)C(=O)N1CCC[C@H]1C(O)=O,Feces,Not Specified,
Histidylvaline,HMDB0028898,CC(C)[C@H](NC(=O)[C@@H](N)CC1=CNC=N1)C(O)=O,Feces,Not Specified,
Isoleucyl-Alanine,HMDB0028900,CCC(C)C(N)C(=O)NC(C)C(O)=O,Feces,Not Specified,
Isoleucyl-Arginine,HMDB0028901,CCC(C)C(N)C(=O)NC(CCCNC(N)=N)C(O)=O,Feces,Not Specified,
Isoleucyl-Glutamate,HMDB0028906,CCC(C)C(N)C(=O)NC(CCC(O)=O)C(O)=O,Feces,Not Specified,
Isoleucyl-Glycine,HMDB0028907,CCC(C)C(N)C(=O)NCC(O)=O,Feces,Not Specified,
Isoleucyl-Isoleucine,HMDB0028910,CCC(C)C(N)C(=O)NC(C(C)CC)C(O)=O,Feces,Not Specified,
Isoleucyl-Leucine,HMDB0028911,CCC(C)C(N)C(=O)NC(CC(C)C)C(O)=O,Feces,Not Specified,
Isoleucyl-Methionine,HMDB0028913,CCC(C)C(N)C(=O)NC(CCSC)C(O)=O,Feces,Not Specified,
Isoleucyl-Phenylalanine,HMDB0028914,CCC(C)C(N)C(=O)NC(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Isoleucyl-Serine,HMDB0028916,CCC(C)C(N)C(=O)NC(CO)C(O)=O,Feces,Not Specified,
Isoleucyl-Threonine,HMDB0028917,CCC(C)C(N)C(=O)NC(C(C)O)C(O)=O,Feces,Not Specified,
Isoleucyl-Tryptophan,HMDB0028918,CCC(C)C(N)C(=O)NC(CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Isoleucyl-Tyrosine,HMDB0028919,CCC(C)C(N)C(=O)NC(CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Isoleucyl-Valine,HMDB0028920,CCC(C)C(N)C(=O)NC(C(C)C)C(O)=O,Feces,Not Specified,
Leucylalanine,HMDB0028922,CC(C)C[C@H](N)C(=O)N[C@@H](C)C(O)=O,Feces,Not Specified,
Leucyl-Glutamate,HMDB0028928,CC(C)CC(N)C(=O)NC(CCC(O)=O)C(O)=O,Feces,Not Specified,
Leucyl-Glycine,HMDB0028929,CC(C)CC(N)C(=O)NCC(O)=O,Feces,Not Specified,
Leucyl-Isoleucine,HMDB0028932,CCC(C)C(NC(=O)C(N)CC(C)C)C(O)=O,Feces,Not Specified,
Leucyl-Methionine,HMDB0028935,CSCCC(NC(=O)C(N)CC(C)C)C(O)=O,Feces,Not Specified,
Leucyl-Serine,HMDB0028938,CC(C)CC(N)C(O)=NC(CO)C(O)=O,Feces,Not Specified,
Leucyl-Threonine,HMDB0028939,CC(C)CC(N)C(=O)NC(C(C)O)C(O)=O,Feces,Not Specified,
Leucyl-Tryptophan,HMDB0028940,CC(C)CC(N)C(O)=NC(CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Leucyl-Tyrosine,HMDB0028941,CC(C)CC(N)C(=O)NC(CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Lysylisoleucine,HMDB0028954,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCCCN)C(O)=O,Feces,Not Specified,
Lysylleucine,HMDB0028955,CC(C)C[C@H](NC(=O)[C@@H](N)CCCCN)C(O)=O,Feces,Not Specified,
Lysylvaline,HMDB0028964,CC(C)[C@H](NC(=O)[C@@H](N)CCCCN)C(O)=O,Feces,Not Specified,
Methionyl-Valine,HMDB0028986,CSCCC(N)C(=O)NC(C(C)C)C(O)=O,Feces,Not Specified,
Phenylalanylalanine,HMDB0028988,C[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Phenylalanylaspartic acid,HMDB0028991,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Phenylalanylglutamic acid,HMDB0028994,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
Phenylalanylisoleucine,HMDB0028998,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Phenylalanylserine,HMDB0029004,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CO)C(O)=O,Feces,Not Specified,
Phenylalanylvaline,HMDB0029008,CC(C)[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Serylisoleucine,HMDB0029042,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CO)C(O)=O,Feces,Not Specified,
Threonylphenylalanine,HMDB0029068,C[C@@H](O)[C@H](N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Tryptophyl-Glycine,HMDB0029083,NC(CC1=CNC2=C1C=CC=C2)C(=O)NCC(O)=O,Feces,Not Specified,
Tryptophyl-Isoleucine,HMDB0029086,CCC(C)C(NC(=O)C(N)CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Tryptophyl-Leucine,HMDB0029087,CC(C)CC(N=C(O)C(N)CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Tryptophyl-Valine,HMDB0029096,CC(C)C(NC(=O)C(N)CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Tyrosyl-Isoleucine,HMDB0029108,CCC(C)C(NC(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Tyrosyl-Leucine,HMDB0029109,CC(C)CC(N=C(O)C(N)CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Tyrosyl-Valine,HMDB0029118,CC(C)C(N=C(O)C(N)CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Valylalanine,HMDB0029120,CC(C)[C@H](N)C(=O)N[C@@H](C)C(O)=O,Feces,Not Specified,
Valylaspartic acid,HMDB0029123,CC(C)[C@H](N)C(=O)N[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Valylglutamic acid,HMDB0029126,CC(C)[C@H](N)C(=O)N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
Valylisoleucine,HMDB0029130,CC[C@H](C)[C@H](NC(=O)[C@@H](N)C(C)C)C(O)=O,Feces,Not Specified,
Valylleucine,HMDB0029131,CC(C)C[C@H](NC(=O)[C@@H](N)C(C)C)C(O)=O,Feces,Not Specified,
Valyllysine,HMDB0029132,CC(C)[C@H](N)C(=O)N[C@@H](CCCCN)C(O)=O,Feces,Not Specified,
Valylmethionine,HMDB0029133,CSCC[C@H](NC(=O)[C@@H](N)C(C)C)C(O)=O,Feces,Not Specified,
